CustomerID,Risk_Score,Risk_Category
2656-TABEH,96.72,Critical (86-100%)
0107-YHINA,96.41,Critical (86-100%)
6108-OQZDQ,96.4,Critical (86-100%)
4910-GMJOT,96.24,Critical (86-100%)
8149-RSOUN,96.24,Critical (86-100%)
5419-JPRRN,96.14,Critical (86-100%)
9681-OXGVC,96.11,Critical (86-100%)
6521-YYTYI,96.09,Critical (86-100%)
9497-QCMMS,95.98,Critical (86-100%)
9300-AGZNL,95.98,Critical (86-100%)
7216-EWTRS,95.9,Critical (86-100%)
3811-VBYBZ,95.87,Critical (86-100%)
9305-CDSKC,95.86,Critical (86-100%)
1455-UGQVH,95.86,Critical (86-100%)
0295-PPHDO,95.84,Critical (86-100%)
0897-FEGMU,95.68,Critical (86-100%)
3049-SOLAY,95.57,Critical (86-100%)
3158-MOERK,95.33,Critical (86-100%)
5567-WSELE,95.33,Critical (86-100%)
7851-WZEKY,95.31,Critical (86-100%)
9282-IZGQK,95.3,Critical (86-100%)
2968-SSGAA,95.27,Critical (86-100%)
1069-XAIEM,95.24,Critical (86-100%)
2720-WGKHP,95.18,Critical (86-100%)
7024-OHCCK,95.18,Critical (86-100%)
4424-TKOPW,95.16,Critical (86-100%)
6023-YEBUP,95.1,Critical (86-100%)
8775-LHDJH,95.07,Critical (86-100%)
2012-NWRPA,95.07,Critical (86-100%)
4626-GYCZP,95.03,Critical (86-100%)
4078-SAYYN,94.99,Critical (86-100%)
8161-QYMTT,94.99,Critical (86-100%)
4822-RVYBB,94.99,Critical (86-100%)
0702-PGIBZ,94.98,Critical (86-100%)
5178-LMXOP,94.96,Critical (86-100%)
8603-IJWDN,94.94,Critical (86-100%)
2446-BEGGB,94.92,Critical (86-100%)
9057-SIHCH,94.88,Critical (86-100%)
6861-XWTWQ,94.87,Critical (86-100%)
4826-XTSOH,94.66,Critical (86-100%)
6892-EZDTG,94.52,Critical (86-100%)
8884-ADFVN,94.48,Critical (86-100%)
0781-LKXBR,94.45,Critical (86-100%)
6688-UZPWD,94.35,Critical (86-100%)
4927-WWOOZ,94.35,Critical (86-100%)
7943-RQCHR,94.23,Critical (86-100%)
9124-LHCJQ,94.22,Critical (86-100%)
7594-RQHXR,94.19,Critical (86-100%)
0564-JJHGS,94.16,Critical (86-100%)
5192-EBGOV,94.13,Critical (86-100%)
2868-MZAGQ,94.05,Critical (86-100%)
0495-RVCBF,94.03,Critical (86-100%)
1143-NMNQJ,93.97,Critical (86-100%)
1374-DMZUI,93.94,Critical (86-100%)
3068-OMWZA,93.87,Critical (86-100%)
